timestamp,transaction_id,source_ip,source_port,function_code,function_name,action,reason,unit_id,data_length
2026-01-03T11:12:00.064115,65477,10.24.112.217,61145,16,WRITE_MULTIPLE_REGISTERS,ALLOW,WRITE_MULTIPLE_REGISTERS is whitelisted,1,11
2026-01-03T11:13:27.861988,1,127.0.0.1,58011,1,READ_COILS,ALLOW,READ_COILS is whitelisted,1,4
2026-01-03T11:13:30.183954,2,127.0.0.1,58013,2,READ_DISCRETE_INPUTS,ALLOW,READ_DISCRETE_INPUTS is whitelisted,1,4
2026-01-03T11:13:32.644427,3,127.0.0.1,58015,3,READ_HOLDING_REGISTERS,ALLOW,READ_HOLDING_REGISTERS is whitelisted,1,4
2026-01-03T11:13:35.074998,4,127.0.0.1,58017,4,READ_INPUT_REGISTERS,ALLOW,READ_INPUT_REGISTERS is whitelisted,1,4
2026-01-03T11:15:03.364253,1,127.0.0.1,59417,1,READ_COILS,ALLOW,READ_COILS is whitelisted,1,4
2026-01-03T11:15:05.519914,2,127.0.0.1,59419,2,READ_DISCRETE_INPUTS,ALLOW,READ_DISCRETE_INPUTS is whitelisted,1,4
2026-01-03T11:15:08.288377,3,127.0.0.1,59421,3,READ_HOLDING_REGISTERS,ALLOW,READ_HOLDING_REGISTERS is whitelisted,1,4
2026-01-03T11:15:10.466681,4,127.0.0.1,59423,4,READ_INPUT_REGISTERS,ALLOW,READ_INPUT_REGISTERS is whitelisted,1,4
2026-01-03T11:15:13.294813,5,127.0.0.1,59425,5,WRITE_SINGLE_COIL,BLOCK,WRITE_SINGLE_COIL (FC:0x05) is blocked by security policy,1,4
2026-01-03T11:15:15.851979,6,127.0.0.1,59427,6,WRITE_SINGLE_REGISTER,ALLOW,WRITE_SINGLE_REGISTER is whitelisted,1,4
2026-01-03T11:15:19.644029,7,127.0.0.1,59429,16,WRITE_MULTIPLE_REGISTERS,ALLOW,WRITE_MULTIPLE_REGISTERS is whitelisted,1,11
